id_curso;nome_curso
0;PEDAGOGIA
1;MARKETING
2;GESTÃO COMERCIAL
3;PSICOLOGIA
4;FARMÁCIA
5;DIREITO
6;MEDICINA VETERINÁRIA
7;ODONTOLOGIA
8;GESTÃO DE RECURSOS HUMANOS
9;ENGENHARIA CIVIL
10;CIÊNCIAS CONTÁBEIS
11;ADMINISTRAÇÃO
12;ARQUITETURA E URBANISMO
13;MÚSICA
14;RADIOLOGIA
15;SERVIÇO SOCIAL
16;ENFERMAGEM
17;HISTÓRIA
18;MUSEOLOGIA
19;EDUCAÇÃO FÍSICA
20;PROCESSOS GERENCIAIS
21;LOGÍSTICA
22;GESTÃO AMBIENTAL
23;NUTRIÇÃO
24;ESTÉTICA E COSMÉTICA
25;BIOMEDICINA
26;FISIOTERAPIA
27;COMUNICAÇÃO SOCIAL - JORNALISMO
28;SISTEMAS DE INFORMAÇÃO
29;ENGENHARIA DE PRODUÇÃO
30;ENGENHARIA DE COMPUTAÇÃO
31;LETRAS - PORTUGUÊS E INGLÊS
32;PUBLICIDADE E PROPAGANDA
33;ENGENHARIA MECÂNICA
34;CIÊNCIAS DA COMPUTAÇÃO
35;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO
36;GESTÃO DA QUALIDADE
37;DESIGN DE INTERIORES
38;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS
39;GESTÃO DA PRODUÇÃO INDUSTRIAL
40;RELAÇÕES INTERNACIONAIS
41;ARTES VISUAIS
42;ENGENHARIA QUÍMICA
43;SERVIÇOS JURÍDICOS E NOTARIAIS
44;GESTÃO PÚBLICA
45;GESTÃO DE SEGURANÇA PRIVADA
46;ENGENHARIA ELÉTRICA
47;CIÊNCIAS ECONÔMICAS
48;SOCIOLOGIA
49;GESTÃO HOSPITALAR
50;GEOGRAFIA
51;MEDICINA
52;COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA
53;CIÊNCIAS BIOLÓGICAS
54;SEGURANÇA ALIMENTAR
55;TEOLOGIA
56;MARKETING DIGITAL
57;ENGENHARIA DE CONTROLE E AUTOMAÇÃO
58;GESTÃO FINANCEIRA
59;QUÍMICA
60;MATEMÁTICA
61;PRODUÇÃO PUBLICITÁRIA
62;GASTRONOMIA
63;JORNALISMO
64;AGRONEGÓCIO
65;LETRAS - INGLÊS
66;PSICOPEDAGOGIA
67;CIÊNCIA DA COMPUTAÇÃO
68;CIÊNCIA ECONÔMICA
69;LETRAS - PORTUGUÊS
70;SANEAMENTO AMBIENTAL
71;NATUROLOGIA
72;BIOLOGIA
73;COMPUTAÇÃO
74;COMÉRCIO EXTERIOR
75;ENGENHARIA AMBIENTAL E SANITÁRIA
76;PRODUÇÃO MULTIMÍDIA
77;SISTEMA DE INFORMAÇÃO
78;FILOSOFIA
79;PRODUÇÃO FONOGRÁFICA
80;PODOLOGIA
81;DESIGN GRÁFICO
82;REDES DE COMPUTADORES
83;ÓPTICA E OPTOMETRIA
84;FÍSICA
85;BANCO DE DADOS
86;DESIGN
87;GESTÃO DE SERVIÇOS JURÍDICOS E NOTARIAIS
88;CIÊNCIA POLÍTICA
89;FOTOGRAFIA
90;LETRAS - PORTUGUÊS E ESPANHOL
91;ENGENHARIA AUTOMOTIVA
92;INVESTIGAÇÃO PROFISSIONAL
93;FONOAUDIOLOGIA
94;SEGURANÇA NO TRABALHO
95;GESTÃO EXECUTIVA DE NEGÓCIOS
96;SEGURANÇA PÚBLICA
97;LETRAS
98;GESTÃO DE SAÚDE PÚBLICA
99;SECRETARIADO
100;DESIGN DE MODA
101;TERAPIAS INTEGRATIVAS E COMPLEMENTARES
102;EMBELEZAMENTO E IMAGEM PESSOAL
103;ENGENHARIA DE PRODUÇÃO MECÂNICA
104;ENGENHARIA AMBIENTAL
105;TEOLOGIA: DOUTRINA CATÓLICA
106;AGRONOMIA
107;JOGOS DIGITAIS
108;EDUCAÇÃO ESPECIAL
109;BIBLIOTECONOMIA
110;ENGENHARIA DA COMPUTAÇÃO
111;ADMINISTRAÇÃO DE EMPRESAS
