id_codigo_intituicao;nome_da_ies
0;UNIVERSIDADE PAULISTA
1;UNIVERSIDADE ESTÁCIO DE SÁ
2;CENTRO UNIVERSITÁRIO FIP-MOC
3;FACULDADE DE QUIXERAMOBIM
4;UNIVERSIDADE SÃO JUDAS TADEU
5;FACULDADE PITÁGORAS BACABAL MEARIM
6;FACULDADE PITÁGORAS DE TECNOLOGIA DE BELO HORIZONTE
7;FACULDADE PITÁGORAS DE POÇOS DE CALDAS
8;CENTRO UNIVERSITÁRIO ANHANGUERA
9;FACULDADE ANHANGUERA DE CAMPINAS
10;UNIVERSIDADE SALVADOR
11;FACULDADE DO CENTRO LESTE
12;CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS
13;CENTRO UNIVERSITÁRIO CLARETIANO
14;FACULDADE SINERGIA
15;CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS
16;UNIVERSIDADE PITÁGORAS UNOPAR
17;CENTRO UNIVERSITÁRIO METROCAMP WYDEN
18;UNIVERSIDADE DO OESTE PAULISTA
19;INSTITUTO NACIONAL DE ENSINO SUPERIOR E PÓS-GRADUAÇÃO PADRE GERVÁSIO
20;FACULDADE CAPIXABA DA SERRA
21;CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU
22;UNIVERSIDADE CEUMA
23;CENTRO UNIVERSITÁRIO UNA
24;UNIVERSIDADE CIDADE DE SÃO PAULO
25;CENTRO UNIVERSITÁRIO BRAZ CUBAS
26;FACULDADE IBGEN
27;CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR
28;FACULDADE UNIRB - FEIRA DE SANTANA
29;INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR
30;FACULDADE UNIRB - PARNAÍBA
31;FACULDADE ANHANGUERA DE SUMARE
32;UNIVERSIDADE POTIGUAR
33;FACULDADE INTERAMERICANA DE PORTO VELHO
34;UNIVERSIDADE VALE DO RIO VERDE
35;FACULDADE DE CAMPINA GRANDE
36;CENTRO UNIVERSITÁRIO LEONARDO DA VINCI
37;FACULDADE MARTHA FALCÃO WYDEN
38;CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA
39;FACULDADE DOS GUARARAPES
40;FACULDADE ANHANGUERA DE PIRACICABA
41;FACULDADE UNINASSAU LAURO DE FREITAS
42;FACULDADE SÃO PAULO
43;CENTRO UNIVERSITÁRIO ESTÁCIO DE SERGIPE
44;CENTRO UNIVERSITÁRIO DOCTUM DE TEÓFILO OTONI
45;FACULDADE UNA DE CONTAGEM
46;FACULDADE UNA DE BETIM
