id_municipio;municipio
0;GOVERNADOR VALADARES
1;RIO GRANDE
2;FORTALEZA
3;RONDONOPOLIS
4;MONTES CLAROS
5;MOMBACA
6;IBITITA
7;SAO PAULO
8;SAO BERNARDO DO CAMPO
9;SANTA INES
10;ZE DOCA
11;AMERICANA
12;CONTAGEM
13;CAMPANHA
14;PIRASSUNUNGA
15;PORTO FERREIRA
16;LEME
17;SAO CARLOS
18;CAMPINAS
19;SALVADOR
20;SERTAOZINHO
21;JANAUBA
22;SOROCABA
23;VOTORANTIM
24;SERRA
25;TERESOPOLIS
26;ALEM PARAIBA
27;CAMPINA GRANDE
28;BOQUEIRAO
29;NAVEGANTES
30;IMPERATRIZ
31;BRASILIA
32;LAGOA DA PRATA
33;VALPARAISO DE GOIAS
34;MONTE MOR
35;PRESIDENTE PRUDENTE
36;BARBACENA
37;POUSO ALEGRE
38;GOIANIA
39;CALDAS
40;JOAO MONLEVADE
41;SAO GONCALO DO SAPUCAI
42;ITACARAMBI
43;ARACUAI
44;PRADOS
45;BAEPENDI
46;ARICANDUVA
47;CAPELINHA
48;MARECHAL FLORIANO
49;COLNIZA
50;BLUMENAU
51;INDAIATUBA
52;IBIPORA
53;PIRAQUARA
54;FLORIANOPOLIS
55;PONTA PORA
56;DOURADOS
57;NOVA ALVORADA DO SUL
58;SAO LUIS
59;SAO JOSE DE RIBAMAR
60;PRESIDENTE MEDICI
61;BEQUIMAO
62;BUJARU
63;BOM JARDIM
64;AMAMBAI
65;SANTA CECILIA DO PAVAO
66;QUATA
67;PRESIDENTE VENCESLAU
68;BELO HORIZONTE
69;FARTURA
70;REGENTE FEIJO
71;ITAQUAQUECETUBA
72;DRACENA
73;MOGI DAS CRUZES
74;PRESIDENTE EPITACIO
75;CABO DE SANTO AGOSTINHO
76;ACEGUA
77;APUCARANA
78;FEIRA DE SANTANA
79;RIO DE JANEIRO
80;SANTO ANDRE
81;FERRAZ DE VASCONCELOS
82;CUIABA
83;ITAPETININGA
84;GUAIRA
85;CAMOCIM
86;SUMARE
87;NATAL
88;PORTO VELHO
89;VITORIA
90;FUNDAO
91;CAXAMBU
92;TRES CORACOES
93;PEDRA LAVRADA
94;SOLANEA
95;VESPASIANO
96;CURITIBANOS
97;MANAUS
98;BELEM
99;MIRANDA DO NORTE
100;MORENO
101;PIRACICABA
102;CAMACARI
103;CACOAL
104;MOITA BONITA
105;HORTOLANDIA
106;CARATINGA
107;JUATUBA
108;CAMPO LARGO
109;JABOATAO DOS GUARARAPES
110;BOTUCATU
111;CANGUCU
112;PATROCINIO
113;CEREJEIRAS
114;VIANA
115;MARANHAOZINHO
116;PACO DO LUMIAR
117;AXIXA
118;VITORIA DO MEARIM
119;SAO JOAO DA PONTE
120;TAPIRAI
121;CANDEIAS DO JAMARI
122;OSASCO
123;EMBU
124;ADAMANTINA
125;ONCA DE PITANGUI
126;PITANGUI
127;BOM DESPACHO
128;SARZEDO
129;ALTO ALEGRE DO PINDARE
130;SANTO ANTONIO DOS LOPES
131;SAO BENTO
132;SANTA LUZIA DO PARUA
133;SANTA LUZIA
134;PINHEIRO
135;CURURUPU
136;PENALVA
137;SAO VICENTE FERRER
138;ARARI
139;ALTAMIRA DO MARANHAO
140;LAGO DA PEDRA
141;MATINHA
142;SAO JOSE DOS CAMPOS
143;RIO NEGRINHO
144;PRUDENTOPOLIS
145;GUAMIRANGA
146;TABOAO DA SERRA
147;SAO LOURENCO DA SERRA
148;IRECE
149;RIO CLARO
150;CAMPO GRANDE
151;UBATUBA
152;CURITIBA
153;SENADOR LA ROCQUE
154;JI-PARANA
155;JUIZ DE FORA
156;RECIFE
157;NANUQUE
158;DIADEMA
159;IVAIPORA
160;GUAJARA-MIRIM
161;VITORIA DA CONQUISTA
162;LICINIO DE ALMEIDA
163;PIRIPA
164;CACULE
165;CANDIDO SALES
166;MAETINGA
167;ITORORO
168;SANTA BARBARA DO PARA
169;MARITUBA
170;IBICOARA
171;CACHOEIRA DE PAJEU
172;PILAR DO SUL
173;SALTO DE PIRAPORA
174;CERQUILHO
175;SABARA
176;RIO BRANCO DO SUL
177;PIEDADE
178;NAZARE DA MATA
179;MUTUM
180;MAUA
181;VARGEM GRANDE
182;SANTA RITA
183;PINDARE MIRIM
184;MONTANHA
185;DUQUE DE CAXIAS
186;PALMAS
187;LINHARES
188;DOM BASILIO
189;COARACI
190;WENCESLAU GUIMARAES
191;SANTA CRUZ DA VITORIA
192;IBICARAI
193;IBICUI
194;ITABUNA
195;AURELINO LEAL
196;CAMPO ALEGRE DE LOURDES
197;SAO MIGUEL DO GUAMA
198;PARAGOMINAS
199;SANTA HELENA
200;AMAPA DO MARANHAO
201;BARREIRINHAS
202;CARUTAPERA
203;VITORINO FREIRE
204;SAO BENEDITO DO RIO PRETO
205;ACAILANDIA
206;GRAJAU
207;IGARAPE DO MEIO
208;PASTOS BONS
209;SAO JOAO BATISTA
210;SUCUPIRA DO NORTE
211;PIO XII
212;CEDRAL
213;COLINAS
214;PEDRO DO ROSARIO
215;COROATA
216;PERI MIRIM
217;SAO JOAO DO CARU
218;BETIM
219;ACARA
220;LUZIANIA
221;BUIQUE
222;SAO FRANCISCO DO SUL
223;LAGARTO
224;BIRIGUI
225;NARANDIBA
226;MARINOPOLIS
227;NOVA PONTE
228;UBERABA
229;PIRAPOZINHO
230;PACAEMBU
231;CAIABU
232;BOQUIRA
233;PORTO ALEGRE
234;ALUMINIO
235;IBIUNA
236;ARACOIABA DA SERRA
237;PIMENTA BUENO
238;SAO LEOPOLDO
239;CARIACICA
240;MATEUS LEME
241;MERIDIANO
242;ITURAMA
243;JALES
244;MIRA ESTRELA
245;BELFORD ROXO
246;FREDERICO WESTPHALEN
247;NOVO TIRADENTES
248;SEBERI
249;SANTALUZ
250;CANARANA
251;PRADO
252;AGUA BOA
253;APARECIDA DE GOIANIA
254;ITABAIANINHA
255;VILA VELHA
256;BOA VISTA
257;ESPERANCA
258;JUAZEIRINHO
259;CODO
260;BOM RETIRO DO SUL
261;"""ESPIGAO D""""OESTE"""
262;PANAMBI
263;CACHOEIRA DO SUL
264;MASCOTE
265;AIUABA
266;JUSSARI
267;PRESIDENTE JUSCELINO
268;CAMAMU
269;JITAUNA
270;PAULISTA
271;GOIATUBA
272;RIBEIRAO DAS NEVES
273;RIBAS DO RIO PARDO
274;ELDORADO
275;BALNEÁRIO RINCÃO
276;ARARANGUA
277;SANTO ANTONIO DO DESCOBERTO
278;MATRIZ DE CAMARAGIBE
279;OLIVEIRA
280;VERA CRUZ
281;CANDEIAS
282;SANTA RITA DO SAPUCAI
283;QUITANDINHA
284;BARRA DO BUGRES
285;BURITIS
286;ITAPEVA
287;NOVA SERRANA
288;PARA DE MINAS
289;PERDIGAO
290;CORONEL FABRICIANO
291;TIMOTEO
292;SAO BERNARDO
293;SANTANA DO PARAISO
294;PARNAIBA
295;CEARA-MIRIM
296;JUNDIAI
297;ANANINDEUA
298;CACAPAVA DO SUL
299;CAETITE
300;PIRAI DO SUL
301;PARIQUERA-ACU
302;PRESIDENTE BERNARDES
303;MARTINOPOLIS
304;ALVARES MACHADO
305;TEODORO SAMPAIO
306;TARABAI
307;INDIANA
308;RANCHARIA
309;CIDADE OCIDENTAL
310;BOM JESUS DE GOIAS
311;CAIEIRAS
312;CRICIUMA
313;BALNEARIO GAIVOTA
314;COCAL DO SUL
315;SOMBRIO
316;PORTO SEGURO
317;SAO SEBASTIAO
318;PARAMIRIM
319;GUARAREMA
320;RIACHO DE SANTANA
321;CAXIAS DO SUL
322;BELO CAMPO
323;PONTAL
324;DIVISOPOLIS
325;ORIXIMINA
326;ARARAQUARA
327;POCOES
328;MATA VERDE
329;SAO JOAO DO PARAISO
330;ESPLANADA
331;RIO DE CONTAS
332;RONDON DO PARA
333;CARUARU
334;ABADIA DOS DOURADOS
335;COCAL
336;MULUNGU DO MORRO
337;DAVINOPOLIS
338;ITABIRITO
339;GAVIAO
340;BUENOPOLIS
341;COSMOPOLIS
342;NOVA ODESSA
343;PORTEIRINHA
344;AGUAS LINDAS DE GOIAS
345;IRATI
346;IBIRITE
347;PLANALTO
348;ROLIM DE MOURA
349;ITAPIUNA
350;SANTA BARBARA DO SUL
351;ITATIRA
352;SARANDI
353;MOGI-GUACU
354;NOVA PETROPOLIS
355;CHAPECO
356;SAO JOSE DOS PINHAIS
357;SAO BORJA
