id_idd;id_curso;id_codigo_intituicao;id_municipio;id_estado;id_organizacao_academica;id_categoria_administrativa;id_grau_academico;id_modalidade_de_ensino;idd_continuo;idd_faixa;ano;numero_concluintes;numero_participantes;numero_participantes_nota_enem;proporcao_concluintes;nome_bruta_idd
9;41.0;464.0;857.0;5.0;0.0;2.0;0.0;0.0;1.048;2;2021;21.0;18.0;8.0;0.444;-3.766
11;41.0;897.0;496.0;7.0;0.0;2.0;0.0;0.0;1.818;2;2021;11.0;6.0;5.0;0.833;-1.52
12;41.0;295.0;212.0;5.0;0.0;2.0;0.0;0.0;3.355;4;2021;11.0;9.0;5.0;0.555;2.963
13;41.0;826.0;1803.0;5.0;0.0;2.0;0.0;0.0;4.384;5;2021;11.0;9.0;4.0;0.444;5.964
21;41.0;247.0;770.0;7.0;1.0;2.0;0.0;1.0;NAN;SC;2021;560.0;316.0;15.0;0.047;NAN
22;41.0;713.0;148.0;7.0;0.0;2.0;0.0;0.0;2.145;3;2021;14.0;14.0;12.0;0.857;-0.567
23;41.0;979.0;198.0;7.0;1.0;2.0;0.0;0.0;1.73;2;2021;22.0;18.0;9.0;0.5;-1.777
24;41.0;979.0;198.0;7.0;1.0;2.0;0.0;1.0;NAN;SC;2021;5.0;0.0;0.0;0.0;NAN
25;41.0;96.0;198.0;7.0;0.0;4.0;0.0;0.0;2.119;3;2021;31.0;26.0;15.0;0.576;-0.643
26;41.0;96.0;198.0;7.0;0.0;4.0;0.0;1.0;NAN;SC;2021;178.0;121.0;16.0;0.132;NAN
27;41.0;1005.0;480.0;7.0;1.0;2.0;0.0;0.0;4.153;5;2021;11.0;10.0;7.0;0.7;5.289
28;41.0;18.0;754.0;7.0;0.0;2.0;0.0;0.0;NAN;SC;2021;7.0;0.0;0.0;0.0;NAN
29;41.0;508.0;151.0;7.0;0.0;2.0;0.0;0.0;2.107;3;2021;10.0;8.0;7.0;0.875;-0.678
31;41.0;0.0;198.0;7.0;0.0;4.0;0.0;1.0;2.01;3;2021;465.0;314.0;89.0;0.283;-0.962
34;41.0;206.0;198.0;7.0;1.0;4.0;0.0;0.0;2.153;3;2021;82.0;67.0;47.0;0.701;-0.543
35;41.0;267.0;19.0;10.0;0.0;4.0;0.0;0.0;NAN;NAN;2021;51.0;0.0;0.0;0.0;NAN
