id_fat_prouni;id_codigo_intituicao;id_municipio;id_tipo_bolsa;id_curso;id_turno;id_regiao;id_estado;id_etinia;modalidade_ensino_bolsa;sexo_beneficiario;data_nascimento;beneficio_deficiente_fisico;ano_concessao_bolsa
0;0;0;0;0;;0;6;0;0;F;11/08/1973;N;2020
1;0;1;0;0;;1;5;1;0;F;15/04/1986;N;2020
2;1;2;0;1;;2;8;0;0;M;13/05/1987;N;2020
3;0;3;0;2;;3;21;0;0;M;13/03/2000;N;2020
4;2;4;1;3;1.0;0;6;0;1;F;29/07/2001;N;2020
5;3;5;0;4;0.0;2;8;0;1;M;23/07/2001;N;2020
6;4;6;1;5;1.0;2;15;1;1;F;04/04/2003;N;2020
7;4;7;0;5;1.0;0;7;1;1;F;07/12/1977;N;2020
8;4;7;0;6;0.0;0;7;0;1;F;17/12/2001;N;2020
9;4;8;1;6;0.0;0;7;1;1;F;20/07/1999;N;2020
10;4;7;0;5;1.0;0;7;1;1;F;13/02/2002;N;2020
11;4;7;1;7;0.0;0;7;1;1;F;08/06/2001;N;2020
12;5;9;0;4;1.0;2;12;0;1;F;24/07/1984;N;2020
13;5;10;0;4;1.0;2;12;0;1;M;24/11/1995;N;2020
14;0;11;0;2;;0;7;0;0;M;18/12/1988;N;2020
15;6;12;0;8;0.0;0;6;1;1;F;30/07/1995;N;2020
16;7;13;0;7;0.0;0;6;1;1;M;25/02/1995;N;2020
17;8;14;0;5;0.0;0;7;2;1;M;21/02/1992;N;2020
18;8;15;0;5;0.0;0;7;0;1;F;10/11/2001;N;2020
19;8;16;0;5;0.0;0;7;1;1;F;14/07/2001;N;2020
20;8;17;0;5;0.0;0;7;2;1;M;06/09/1970;N;2020
21;9;18;0;9;0.0;0;7;0;1;F;27/08/1995;N;2020
22;10;19;0;10;0.0;2;15;0;1;M;15/09/2000;N;2020
23;0;20;0;9;0.0;0;7;0;1;M;18/11/1999;N;2020
24;2;4;0;3;1.0;0;6;0;1;F;12/10/2000;N;2020
25;2;4;1;3;1.0;0;6;0;1;F;16/03/1998;N;2020
26;2;4;1;3;1.0;0;6;0;1;F;30/01/2002;N;2020
27;2;4;0;3;1.0;0;6;0;1;F;21/06/2001;N;2020
28;2;4;0;3;1.0;0;6;1;1;F;20/08/2001;N;2020
29;2;21;1;3;1.0;0;6;1;1;F;07/01/2001;N;2020
30;2;4;1;3;1.0;0;6;1;1;F;27/12/1997;N;2020
31;0;22;0;0;;0;7;1;0;F;26/06/1976;N;2020
32;0;23;0;0;;0;7;0;0;F;20/05/1982;N;2020
33;0;22;0;0;;0;7;1;0;F;09/02/1995;N;2020
34;11;24;1;11;0.0;0;14;1;1;F;12/02/2001;N;2020
35;12;25;0;12;0.0;0;11;1;1;M;22/07/2002;N;2020
36;12;25;0;12;0.0;0;11;1;1;F;18/12/2000;N;2020
37;12;25;0;12;0.0;0;11;0;1;M;10/05/1993;N;2020
38;12;26;0;12;0.0;0;6;0;1;F;26/05/2002;N;2020
